texto,sentimiento
Una sensacion de asombro ante la inmensidad del cosmos en una noche de observacion de estrellas.,neutral
Rejuvenecido por la brisa salada y el sonido de las olas a la orilla del mar.,neutral
Susurros de inspiracion provenientes del susurro de las hojas en un bosque sereno.,neutral
Saboreando el calor de una taza de chocolate en una fria noche de invierno.,neutral
Agradecimiento de todo corazon por las risas compartidas durante una reunion familiar.,positivo
"Embarcate en una aventura culinaria, saboreando sabores exoticos de todo el mundo.",neutral
Impresionado por la grandeza de la intrincada arquitectura de una antigua catedral.,positivo
Explorando el universo interior durante una sesion de meditacion consciente.,neutral
Elevandose como un espiritu libre sobre los vientos de un acantilado costero.,neutral
Deleite caprichoso en un mundo de cuentos de hadas caprichosos.,neutral
Montar la adrenalina en los giros salvajes de una montaña rusa.,positivo
Un estallido de creatividad artistica en la tranquilidad del estudio de un artista. #ArteClub,positivo
Asombrado por la inmensidad del cosmos en una noche de observacion de estrellas.,neutral
"Embarcate en una odisea culinaria, saboreando sabores de todo el mundo.",neutral
Asombrado por la grandeza de la intrincada arquitectura de una antigua catedral.,positivo
La alegria envuelve mientras el aroma del pan recien horneado llena el aire.,positivo
"Perdido en las paginas de una novela cautivadora, transportado a otro mundo.",neutral
Empapado de nostalgia mientras hojeaba un viejo album de fotos familiar.,neutral
Una chispa de inspiracion se enciende como una estrella fugaz en el cielo nocturno.,positivo
Ahogandose en el dolor mientras resurgen los recuerdos del amor perdido.,negativo
"La melancolia perdura, una serenata agridulce en la quietud de la soledad.",neutral
"Amargura como un veneno, filtrandose en cada grieta del corazon herido.",negativo
"Agotamiento emocional, el peso del mundo aplastando los hombros cansados.",negativo
La oscuridad desciende y envuelve el alma en las sombras de la desesperacion.,neutral
"Los susurros de desesperacion, la suplica silenciosa por un rayo de esperanza en el abismo.",negativo
"Corazon en ruinas, restos de sueños destrozados esparcidos por el viento.",negativo
"Nostalgia, un baile agridulce en el salon de baile de recuerdos preciados iluminado por la luna.",neutral
"Los susurros de amor perdido persisten en el atico del corazon, olvidados pero no borrados.",negativo
"Los ecos de la soledad, una conversacion silenciosa entre un alma y sus sombras.",neutral
"Perdido en el laberinto de la curiosidad, cada giro revela los tesoros del descubrimiento.",neutral
"Como un cometa de inspiracion, surcando el cielo de la creatividad, dejando estelas de brillantez.",neutral
"Paseando por las calles historicas de Kioto, cada paso sera un viaje al corazon de las tradiciones de Japon.",neutral
"En el abrazo del Gran Cañon, la obra maestra de la naturaleza, un momento para maravillarse ante la grandeza de la Tierra.",positivo
"En la cima de Machu Picchu, un panorama impresionante que susurra los secretos de las civilizaciones antiguas.",positivo
"En medio de la selva amazonica, una sinfonia de vida salvaje crea una orquesta de maravillas de la naturaleza.",neutral
"Al caminar por la Gran Muralla China, cada paso es un testimonio de las antiguas maravillas de la ingenieria.",positivo
"Explorando las antiguas ruinas de Angkor Wat, cada piedra susurra historias de la civilizacion jemer.",neutral
"Al bajar esquiando por las laderas de los Alpes suizos, cada vuelta es un baile con la majestuosidad de los picos nevados.",neutral
"En la tranquilidad del bosque de bambu de Kioto, los susurros de la antigua sabiduria Zen resuenan entre las arboledas.",neutral
"Rockeando con los solos de guitarra en un concierto tributo a Queen, un viaje al pasado con el espiritu de Freddie.",neutral
"Balanceandose al ritmo de un tributo a Frank Sinatra, sintiendo el encanto atemporal de 'Fly Me to the Moon'.",neutral
"Bailando al ritmo de Shakira, moviendo las caderas al ritmo hipnotico de 'Hips Don't Lie'.",positivo
"En un concierto de U2, los acordes del himno de 'With or Without You' crean un momento atemporal de conexion.",neutral
"Rockeando en un show de Guns N' Roses, los riffs iconicos de 'Sweet Child o' Mine' resuenan en la noche.",neutral
"Meciendose con las vibraciones del reggae del concierto tributo a Bob Marley, cada acorde es un viaje al alma de Jamaica.",neutral
"A medida que avanzan los creditos, lo invade una profunda sensacion de nostalgia, que recuerda los momentos preciados de las peliculas clasicas.",neutral
"Al transmitir la ultima serie web, el espectador queda absorto en el viaje de los personajes y siente una sensacion de conexion y empatia.",positivo
"Al descubrir una joya escondida en el mundo de los documentales, el espectador se ilumina e inspira y siente una renovada sensacion de curiosidad.",positivo
"A medida que avanzan los creditos de la pelicula, el espectador experimenta una mezcla de asombro y contemplacion, reflexionando sobre los significados mas profundos entretejidos en la historia.",neutral
"Al ver una emocionante serie policial, el suspenso mantiene al espectador al borde de su asiento, creando una descarga de adrenalina.",positivo
"En el torneo de golf, la precision y la concentracion del golfista conducen a una victoria sorprendente, dejando a los espectadores asombrados por su habilidad excepcional.",positivo
"La inesperada caida de la gimnasta durante una rutina provoca una ola de simpatia entre el publico, poniendo de relieve la vulnerabilidad del deporte.",neutral
"En el torneo de golf, un putt crucial fallado resulta en una derrota, lo que hace que el golfista reflexione sobre la presion de la competencia de alto riesgo.",neutral
"Al experimentar una serie de derrotas en la temporada de baloncesto, el equipo lucha contra la frustracion y esta decidido a cambiar el rumbo con un esfuerzo renovado.",neutral
"A pesar del meticuloso entrenamiento, el nadador se enfrenta a la decepcion cuando un error de calculo de una fraccion de segundo le cuesta el liderato en una carrera crucial.",negativo
"El intento fallido del levantador de pesas de batir un record personal resulta en frustracion, lo que resalta la naturaleza desafiante de superar los limites fisicos.",neutral
"En la serena belleza de una puesta de sol, la naturaleza despliega un lienzo de colores que evoca una sensacion de tranquilidad y asombro.",neutral
"Al embarcarse en un viaje espontaneo por carretera, el viajero descubre gemas escondidas, creando recuerdos que atesorara toda la vida.",neutral
"En medio de la bulliciosa ciudad, un cafe tranquilo se convierte en un santuario para la reflexion, donde una taza de cafe brinda consuelo a la mente errante.",neutral
"Al pasear por un museo historico, el entusiasta de la historia se sumerge en los cuentos del pasado, imaginando epocas pasadas.",neutral
"En el ambito de la literatura, una novela cautivadora transporta al lector a tierras lejanas, tejiendo un tapiz de imaginacion y evasion.",neutral
"Al capturar la esencia de un mercado bullicioso, el fotografo congela momentos en el tiempo, y cada fotograma cuenta una historia unica y vibrante.",neutral
"Debajo de las luces de la ciudad, la bailarina expresa emociones a traves de elegantes movimientos, creando una actuacion fascinante bajo el cielo nocturno.",positivo
"En el corazon de un bullicioso mercado, el conocedor de la comida callejera se entrega a una aventura culinaria, saboreando diversos sabores y aromas.",positivo
"Cuando cae el primer copo de nieve, los entusiastas del invierno se preparan con entusiasmo para una temporada de delicias heladas, anticipando la magia de los paisajes cubiertos de nieve.",positivo
"En medio de las paginas de una cautivadora novela de misterio, el lector desentraña pistas y secretos, experimentando un emocionante viaje de suspenso y revelacion.",neutral
"Rodeado de los colores vibrantes de un jardin de flores, el jardinero cuida las flores y disfruta de la belleza del lienzo en constante cambio de la naturaleza.",positivo
"En el observatorio de astronomia, el observador de estrellas se maravilla ante la inmensidad del cosmos, contemplando los misterios escondidos en la extension celestial.",positivo
"Envuelto en el aroma del cafe recien hecho, el escritor encuentra inspiracion en cada sorbo y se embarca en un viaje de creatividad y prosa.",positivo
"Mientras las olas rompen contra la orilla, el surfista abraza la emocion de aprovechar la energia del oceano, capturando la esencia de la libertad en cada ola.",positivo
"Al explorar la arquitectura historica de una ciudad antigua, el viajero es transportado a una epoca pasada, donde cada monumento susurra historias del pasado.",neutral
Se quedo sin bocadillos durante una maraton de peliculas.Nivel de crisis: ¡Emergencia! #LuchasNochesDePelicula #ProblemasAdolescentes,neutral
Pase una hora eligiendo el filtro perfecto para una selfie. La lucha por esa estetica de Instagram es real.,neutral
Me vesti para el dia y luego recorde que era sabado.Ups. #Vibracionesdefindesemana #LuchasAdolescentes,neutral
"Sobrevivio a un desafiante examen de fisica.¡Ecuaciones, no me derrotaras!",positivo
Convenci al profesor de tener la clase al aire libre.¡Aprendiendo ecuaciones con un poco de aire fresco!,positivo
Llevar bocadillos a clase como un profesional.¡El arte del contrabando de snacks es una habilidad sagrada!,positivo
Intentando marcar una nueva tendencia haciendo malabarismos con los libros de texto entre clases.Malabarismo academico: ¡una habilidad unica!,positivo
Esconder un refrigerio en mi mochila para los antojos de emergencia.Modo snack ninja: ¡Activado!,positivo
Probando una nueva tecnica de estudio para los proximos examenes.Explorar diferentes estrategias de aprendizaje.,neutral
Organizar un evento de limpieza comunitaria para un vecindario mas limpio.Promocion de la conciencia ambiental.,neutral
Compartir recomendaciones de libros favoritos con compañeros de clase.Construyendo un miniclub de lectura.,neutral
Experimentando con una nueva receta para una venta de pasteles en la escuela.Aventuras horneando en la cocina.,neutral
Colaborar en un proyecto escolar con sus compañeros.El trabajo en equipo hace que el sueño funcione.,neutral
Asistir a una reunion del club escolar para explorar nuevos intereses.Incursionando en actividades extracurriculares.,neutral
Explorar una nueva oportunidad laboral a tiempo parcial para adquirir experiencia laboral.Desarrollo profesional en curso.,neutral
Asistir a una asamblea escolar para mantenerse informado sobre proximos eventos y anuncios.Mantenerse conectado con las actividades escolares.,neutral
Explorando un nuevo pasatiempo de la fotografia durante el tiempo libre.Capturando momentos a traves de una lente.,neutral
Participar en una feria de ciencias para mostrar un experimento unico.Compartir conocimientos con compañeros.,neutral
Asistir a un taller sobre gestion del tiempo para mejorar las habilidades organizativas.Luchando por la eficiencia.,neutral
Ser voluntario en un evento benefico local para retribuir a la comunidad.Contribuyendo a causas sociales.,neutral
Colaborar en un proyecto grupal para promover el trabajo en equipo y las responsabilidades compartidas.Esfuerzo grupal en accion.,neutral
Participar en un club de debate para mejorar el pensamiento critico y las habilidades comunicativas.Compromiso intelectual en progreso.,neutral
termine bien abrumado despues de hoy,negativo
me siento abrumado,negativo
"Me siento un poco abrumado por la cantidad de cosas que quiero dibujar, ver, jugar y leer. Odio esta sensacion xdddd",negativo
Salvador la unica persona que no la ha abrumado de versiones???? #NadieComoTu,negativo
Denme un helado o algo que ando full abrumado.,negativo
"Estoy abrumado de airdrops , de youtube y de todo. Es imposible gestionarlo todo , todo se mueve muy rapido. O determino un plan o me quemo",negativo
"#MicroCuento: A veces, sin motivo aparente, o, mas bien, por razones quizas futiles, se le venian encima unas nostalgias inmensas, que lo dejaban paralizado y abrumado... ¿Serian los ""Heraldos Negros"" de los que hablaba Vallejo?...",negativo
"Oh, las vacaciones. Tesoros inciertos, venideros y preciados para cualquier trabajador abrumado por la sobreexplotacion. Un sueño fugaz en el que el dinero parecia no importar, a cambio de un breve respiro de placer, diversion y alivio. Su tesoro perdido, ahora convertido",negativo
me siento muy abrumado,negativo
"Consejo que nadie pidio: Si un dia te sientes abrumado, triste, enojado, ansioso… Cierra tus ojos, y pierdete en tu respiracion",negativo
"Y entonces aprendimos que si esta desbordado y ni el se aguanta es por dos razones: hambre o sueño. Hoy resulto ser la segunda y ya, hijo dormido a las 8 p. m. ??",negativo
NADA se va a solucionar sin una ley anti fake news. El manejo de la informacion esta absolutamente desbordado.,negativo
"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.",negativo
estoy desbordado,negativo
Dios estoy desbordado,negativo
Desbordado de felicidad y de ansiedad??????,negativo
"Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias",negativo
Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora: Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,negativo
"""Simplemente obstrui un poco mi inodoro y comenzo desbordado y tuve un ataque de panico asi que use el embolo que fue tan jodidamente tonto porque luego comenzo a desbordarse aun mas y luego comence temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-",negativo
Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados. Ya mejor le cambio a canciones de Celine Dion.,negativo
"Como ha dicho el mismo es importante ver como se levanta mañana. El musculo debe estar muy sobrecargado tras casi 4 horas pero si no nota mucho mas es posible que no haya rotura ni desgarro, porque eso se debe notar (o no)... En 10 dias empieza Australia #BrisbaneTennis",negativo
"Vivir en ignorancia aporta mas tranquilidad, pero es mejor estar sobrecargado de informacion y ser pragmatico y coherente con la misma, antes que vivir en una burbuja sin saber lo que acontece a nuestro alrededor. Un incendio te va a quemar por mas que lo ignores con Vehemencia.",negativo
Que dia mas sobrecargado de emocion. No me den mas dias asi que sobrepienso.,negativo
"ya le dije q me escriba cuando qiera, si no lo quiere hacer yo no le voy a andar rogando, ando sobrecargado de cosas que lo unico que puedo hacer es responder de a ratos",negativo
Hoy si El chisme anda sobrecargado,negativo
"No hay nada de malo en llorar por un mal dia, por estres sobrecargado de la Universidad o el trabajo, por problemas personales o por el motivo que quieran. Si usted quiere llorar, hagalo donde quiera y a la hora que quiera, liberese de ese peso que solo USTED entiende.",negativo
"Acaban de soltar la lista de clientes del Pedofilo Epstein y el site esta sobrecargado. El mundo entero pendiente a ver los nombres de Pedofilos desgraciados que violaron y traficaron niños. ???? Obvio, salio Bill Clinton y Prince Andrew. Asquerosos Cerdos ??",negativo
"Han conseguido lo mas dificil, no han arreglado el problema en los centros donde habia sobrecarga y han sobrecargado los centros donde no habia problemas",negativo
"Eliminado cosas de mi galeria me di cuenta de lo quemado que estaba mental, fisicamente y en todo sentidos, de lo sobrecargado que estaba en todo momento. Del llanto que se me salia de la nada por que sentia que ya no podia mas.",negativo
"ME ESTAN DICIENDO QUE MI MAQUILLAJE ES MUY SOBRECARGADO, ellos no entienden que nunca es suficiente brillo en los ojos",negativo
"Desbordante y efervescente, pero a que costo?",negativo
"Llenita de pueblo va a estar la ""cena en el conrad"" de yamandu. Desbordante de humildad. Oddone seguro va.. Cpa ferrere le paga el costoso ticket Capaz habla de ajuste o mal del plebiscito A U$10000 la mesa, para ademas escuchar al cheto de Vilaro Realmente, bien de izquierda",negativo
Tambien me veo cantando a corazon desbordante todos los temas de Floricienta,negativo
"Ando en mi romantic era ????? Alv el dolor, bienvenido el amor desbordante",negativo
"Viendo la cabalgata con ilusion desbordante desde Oban, costa oeste de Escocia! Irene, Dani y Pelusa ??#CabalgataRTVE",negativo
"La desbordante corrupcion, al infiltrarse en la estructura del poder, ha resultado devastadora. La lucha contra este fenomeno ha utilizado tacticas persecutorias propias de sistemas politicos cerrados. Disminuir la corrupcion implica revitalizar el sistema constitucional, una tarea que solo puede lograrse mediante innovaciones institucionales. La consulta popular deberia ser una oportunidad para avanzar en esta direccion.",negativo
"VIERNES 5 DE ENERO: AMADO DIOS, en este nuevo amanecer, elevo mi corazon hacia Ti con gratitud desbordante. Gracias por el regalo de un dia mas de vida. Amen ??????",negativo
"El amor con la persona correcta no se siente como una emocion desbordante que vacila, sino como una sensacion de paz y libertad de ser tu misma en compañia del otro.",negativo
#LPAxFCB se hablaba de que Lamine no estaba igual de desbordante y valiente en los ultimos partidos y por eso Raphinha robo el puesto. pero claramente para estos minutos finales donde te vienes arriba y el partido esta a tu favor Lamine Yamal es DECISIVO. ha hecho el 1-2.,negativo
"??? No entiendo lo que dices, pero debes detenerte. No existe ninguna gemela mia. De a poco, aquella desbordante energia que cubrio su silueta de oscuridad comienza a desaparecer.",negativo
La manera en la que es altamente probable que cuando llegue a Pto me encuentre el apartamento inundado,negativo
"Bueno, hoy he inundado mi ciudad y buggeado el Spiderman. Trabajo bien hecho",negativo
deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria,negativo
Si no hubiera pasado lo que paso en Guatemala mi tuiter estaria inundado de puro amortz del amor inmenso que tengo por un hermoso ser ??,negativo
El CONICET tendria q haber inundado el pais con repelentes,negativo
Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y te recibe un Basurero ?en el Muelle.. muy mala impresion para el Turista. @FranciaMarquezM @DilianFrancisca @LaFMCali @elpaiscali @MabelLaraNews @ELTIEMPO @sergio_fajardo @MinAmbienteCo @ParquesColombia,negativo
Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y ye recibe un Basurero ?en el Muelle.. muy mala impresion para el Turista. @CaracolRadio @GobValle @EnterateCali @Noti90Minutos @MabelLaraNews @ClaraLuzRoldan @BLUPacifico @HotelMaguipi @petrogustavo,negativo
El año no puede empezar peor :),negativo
36 de diciembre y amanecimos con el apartamento inundado jajajajaja,negativo
El patio re inundado quedo ??,negativo
"Te amo mucho Kim Daniel, si no hubieras aparecido hoy habria colapsado",negativo
"Situacion: Sala de espera de sanatorio cardiovascular. Familia esperando a hija en operacion por ACV. Tres horas de operacion. Sin obra social, esta chica estaria muerta. El sistema publico esta colapsado. Donde va a parar la gente que no pueda pagar la OS? Triste.",negativo
"3 dias sin luz en el HGSJDD, un compañero de EPS secuestrado Y NADIE ESTA HABLANDO DE ESO mas que el personal de salud, el sistema de salud en Guatemala esta colapsado, ojala el @MPguatemala, la @PDHgt y a @DrGiammattei les interesara al menos un poco la situacion :)))",negativo
Bocagrande colapsado! Trafico imposible!,negativo
Colapsado y aburrido de la vida...,negativo
"Felicito ampliamente al imbecil de @LuisBNava por cerrar una arteria critica de la ciudad Corregidora esta colapsado el centro. ¡Gracias, …ndejo!",negativo
Ya estoy colapsado de aguantar cosas.,negativo
Terminando primer semana de enero y para variar los #chorrossv colapsado desde la Monseñor.,negativo
"Lo caida que esta la pagina del Movistar que intento entrar a “Mis Compras” para ver la entrada y NO CARGA. No desesperare, se que esta colapsado",negativo
Voy con mi hija en vuelo @LATAM_CHI de Antof-Stgo con maleta de cabina y vuelo internacional. Me OBLIGARON a enviar maleta por bodega contra mi voluntad. El aeropuerto internacional esta colapsado. Que pasa si tardo tiempo retirando la maleta y retrasa tramite intern.?!! ????,negativo
"Mañana viajo muy lejos solo por primera vez, estoy demasiado nervioso preocupado, todo",negativo
"No quiero tener animales, estaria preocupado y con ansiedad siempre cuando salga d casa aunq sean 2 horas",negativo
